routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
9722;nap_gellert_e;C6305325.0;2;3.034682926829268;431.49;1866.71;17.5;-19.36999999999999;0.7;4;769.2848932405834
2400;nap_gellert_e;C63598134.0;2;3.7424581005586592;102.03;673.45;8.230000000000004;-10.760000000000003;0.7;2;269.5486091323764
150;nap_gellert_e;C72468122.0;2;6.744742268041237;28.31;660.1;2.390000000000001;-2.3100000000000023;0.7;2;218.03234082296896
150;nap_gellert_e;C72468162.0;2;6.763958333333332;27.75;660.1;2.3500000000000085;-2.3300000000000125;0.7;2;217.5150588053013
270;nap_gellert_e;C734723356.0;2;5.708325508607199;121.76;3647.97;105.48000000000005;-68.32000000000002;0.7;12;1150.347946280086
270;nap_gellert_e;C734723604.0;2;5.83576923076923;107.87;3647.97;105.38;-68.21000000000001;0.7;12;1127.841771013288
2120;nap_gellert_e;C74509178.0;2;1.777227191413238;1830.45;4023.52;81.34999999999997;-24.78999999999997;0.7;11;2372.1267495526
2120;nap_gellert_e;C74509586.0;2;1.488274962742176;2275.84;4018.91;81.47;-24.91000000000001;0.7;11;2723.7570487146786
2120;nap_gellert_e;C74509844.0;2;1.4165621697780908;2428.35;4035.62;81.25000000000003;-24.69000000000004;0.7;11;2803.480975398962
2120;nap_gellert_e;C74509938.0;2;1.3463384005287509;2570.43;4075.61;22.069999999999936;-79.26999999999992;0.7;11;2912.7804468091704
1070;nap_gellert_e;C74750262.0;2;7.90469298245614;56.24;1803.38;78.01999999999997;-70.23999999999997;0.7;3;504.5429889852234
530;nap_gellert_e;C7619424.0;2;5.044648148148148;269.84;2727.45;19.970000000000056;-29.010000000000048;0.7;7;1054.9712749099444
530;nap_gellert_e;C761944394.0;2;5.287444444444445;162.58;1904.06;22.220000000000013;-16.89;0.7;6;747.9522453665246
530;nap_gellert_e;C761944809.0;2;5.108172043010753;174.87;1904.06;21.77;-16.559999999999988;0.7;6;749.1364079605439
1540;nap_gellert_e;C763621002.0;2;5.4185135135135125;208.72;2405.95;17.10000000000001;-25.480000000000004;0.7;6;878.2164033084194
1530;nap_gellert_e;C76362804.0;2;3.961101928374656;219.2;1439.94;17.390000000000015;-15.600000000000009;0.7;4;644.6352123356619
580;nap_gellert_e;C76444103.0;2;3.166029411764705;220.1;1077.56;17.989999999999995;-10.529999999999989;0.7;3;490.2342461428595
580;nap_gellert_e;C76444130.0;2;4.237174721189592;255.17;2279.6;17.700000000000017;-29.68000000000002;0.7;5;894.5193709246349
580;nap_gellert_e;C7644455.0;2;3.973763837638376;151.08;1077.56;18.090000000000003;-10.61999999999999;0.7;3;456.6407559233684
2140;nap_gellert_e;C7664714516.0;2;2.798923611111112;419.89;1612.25;12.109999999999983;-21.789999999999992;0.7;4;738.9708071120265
1140;nap_gellert_e;C7664715100.0;2;2.113001310615989;606.89;1612.25;12.18999999999997;-21.869999999999976;0.7;4;865.6502977996486
2140;nap_gellert_e;C76647202.0;2;4.063773584905661;144.78;1077.56;18.07000000000002;-10.600000000000009;0.7;3;446.2338405277149
1140;nap_gellert_e;C76647947.0;2;4.583063829787234;114.99;1077.56;18.000000000000014;-10.53;0.7;3;452.3432393913371
9180;nap_gellert_e;C767841140.0;2;1.9816390728476825;487.31;1203.38;11.030000000000015;-17.820000000000007;0.7;3;688.4745857692666
9180;nap_gellert_e;C76784379.0;2;1.7949625187406295;550.26;1203.38;11.070000000000007;-17.85000000000001;0.7;3;722.2173079177023
2100;nap_gellert_e;C76796152.0;2;6.7640625;12.7;433.36;6.629999999999996;-3.1599999999999966;0.7;2;130.60373490531617
2100;nap_gellert_e;C76796162.0;2;6.982096774193548;10.69;433.36;6.719999999999999;-3.25;0.7;2;123.87399690229252
2100;nap_gellert_e;C76796250.0;2;6.6598461538461535;13.73;433.36;6.629999999999967;-3.159999999999968;0.7;2;131.5713550563083
1050;nap_gellert_e;C76796483.0;2;2.504511278195489;88.4;333.14;2.4099999999999966;-6.030000000000001;0.7;2;193.01007681798924
